## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Kiryukhin.idf
## Date:	25.04.2013 01:01:00
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Kiryukhin                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	13717                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
10079405285	SMP	1	177.0554	122.4242	77.9955	74.9833	148.4973	134.7466	208.7918	346.7298	0	906	56
10079425275	SMP	1	176.9676	122.5313	77.9931	74.9781	148.4696	134.9479	209.3978	344.9901	0	1005	56
10079445317	SMP	1	176.9829	122.9929	77.9965	73.9870	148.4232	134.6947	209.4308	346.7191	0	994	57
10079466210	SMP	1	177.1898	123.8802	77.9981	71.9906	148.4970	134.3434	208.7376	357.3346	0	1219	57
10079485188	SMP	1	176.7987	126.6985	77.9943	64.9975	148.5065	133.9926	208.4769	389.6476	0	944	58
10079505144	SMP	1	173.1887	144.3319	45.9868	27.8760	149.1403	132.4737	229.8093	563.3323	0	887	58
10079525216	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	443	59
10079545172	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	338	59
10079566082	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	363	60
10079585025	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	352	60
10079605043	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	390	61
10079625028	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	381	61
10079645062	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	395	62
10079665326	SMP	1	176.0884	141.9653	36.9049	34.9818	148.0151	130.9998	198.8124	553.8703	0	983	62
10079684965	SMP	1	180.2687	136.9932	44.8059	43.9965	147.7910	131.1796	166.6536	505.9927	0	923	63
10079704895	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	427	63
10079724977	SMP	1	172.4207	129.3922	77.9614	54.9360	147.5037	132.2433	232.8835	430.8268	0	946	64
10079744894	SMP	1	173.0136	127.7480	79.9255	59.9917	147.4732	132.9431	230.9202	410.0697	0	918	64
10079765961	SMP	1	173.3178	126.4805	79.9862	62.9938	147.4727	133.0380	229.4137	399.7970	0	965	65
10079784769	SMP	1	173.5116	125.0394	79.9966	65.9946	147.4992	133.0039	228.4100	387.1031	0	948	65
10079804796	SMP	1	173.8177	124.5279	79.9959	66.9745	147.4873	133.8119	226.9819	375.2732	0	927	66
10079824791	SMP	1	173.8830	123.7189	79.9955	68.9811	147.4300	133.6765	225.9723	369.2707	0	914	66
10079844813	SMP	1	173.9652	123.5955	79.9935	70.9996	147.5035	133.9960	225.4609	365.3523	0	985	67
10079865839	SMP	1	173.9831	123.1746	79.9924	71.9962	147.4727	134.0369	225.1773	361.4893	0	1214	67
10079884809	SMP	1	173.6648	123.2702	79.9953	71.9908	147.4104	134.2920	225.9111	359.0404	0	938	68
10079904653	SMP	1	173.5477	123.1914	79.9927	72.9844	147.2602	134.4911	226.5550	356.6441	0	933	68
10079924686	SMP	1	173.5370	123.0891	79.9939	72.9837	147.2839	134.4048	227.0769	355.2875	0	973	69
10079944680	SMP	1	173.5360	123.1490	79.9897	72.9787	147.2593	134.4911	227.3251	354.5042	0	918	69
10079965701	SMP	1	173.5881	123.4684	79.9912	73.9998	147.3086	134.6854	227.2860	354.5279	0	984	70
10079984661	SMP	1	173.7527	123.3437	79.9906	71.9858	147.3915	134.0901	226.9092	356.5113	0	919	70
10080004662	SMP	1	173.6152	124.9995	79.9967	67.9836	147.4625	134.0453	226.7862	372.1897	0	897	71
10080024539	SMP	1	171.7222	133.1009	75.9888	50.9799	147.6255	133.2500	233.2412	455.4039	0	913	71
10080044544	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	366	72
10080066465	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	546	72
10080084544	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	368	73
10080104534	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	350	73
10080125020	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	344	74
10080144412	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	342	74
10080165450	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	364	75
10080184413	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	407	75
10080204420	SMP	1	177.7735	137.7270	39.9539	39.9952	146.5326	130.8834	175.9403	515.6917	0	855	76
10080224404	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	438	76
10080244314	SMP	1	169.3777	128.4001	78.9614	56.6085	146.4970	131.8284	249.6198	426.3673	0	948	77
10080265319	SMP	1	170.0080	125.9989	80.9868	60.8729	146.5104	132.0797	247.8030	402.5374	0	1125	77
10080284299	SMP	1	170.5477	124.6041	80.9918	64.6839	146.4698	132.5585	245.3898	386.6882	0	1046	78
10080304279	SMP	1	170.7896	123.4332	80.9998	66.6984	146.4682	132.9486	243.6942	373.3679	0	914	78
10080324316	SMP	1	170.6810	122.2983	79.9919	68.9859	146.2915	133.1115	242.6342	362.2395	0	970	79
10080344278	SMP	1	170.2491	121.8275	80.9905	70.9791	146.0105	133.4954	242.7943	354.9134	0	928	79
10080365205	SMP	1	170.4705	121.2504	80.9895	72.9943	146.0098	133.6203	242.7962	348.8128	0	930	80
10080384164	SMP	1	170.4756	121.0746	80.9889	73.9968	145.9993	133.9754	242.8599	343.9216	0	943	80
10080404161	SMP	1	170.4758	120.8619	80.9877	74.9906	145.9974	134.0014	242.8863	340.9879	0	922	81
10080424161	SMP	1	170.4909	120.6515	80.9872	74.9760	145.9963	133.9959	242.8186	338.7281	0	942	81
10080444186	SMP	1	170.5483	120.3766	80.9864	76.9753	145.8987	134.1975	242.5332	335.5261	0	992	82
10080465069	SMP	1	170.4001	120.1808	80.9855	77.9820	145.8208	134.1047	242.4773	333.3327	0	1116	82
10080484125	SMP	1	170.3034	120.2307	80.9854	77.9801	145.9033	134.2032	243.0032	331.9821	0	1023	83
10080504043	SMP	1	170.3034	120.2710	80.9889	79.9920	145.9313	134.5491	243.6453	330.2553	0	920	83
10080524083	SMP	1	170.3040	119.9647	80.9859	78.9782	145.9517	134.2766	244.2211	329.1165	0	1034	84
10080544029	SMP	1	170.3305	120.0890	80.9857	79.9917	145.9719	134.5771	244.5528	327.8174	0	953	84
10080565080	SMP	1	170.3127	119.7355	80.9863	79.9785	145.9606	134.2744	244.6884	326.8256	0	960	85
10080583909	SMP	1	170.3712	119.7190	80.9863	79.9758	145.9387	134.3796	244.5458	325.9024	0	944	85
10080603922	SMP	1	170.3008	119.8432	80.9861	78.9783	145.9399	134.3766	244.5689	325.7083	0	941	86
10080623910	SMP	1	170.2508	120.0156	80.9893	78.9754	145.9563	134.2822	244.7418	326.6889	0	957	86
10080643932	SMP	1	170.1132	120.2418	80.9898	79.9879	145.7363	134.5760	244.6764	327.3181	0	952	87
10080664950	SMP	1	169.9120	120.1331	81.9939	79.9910	145.7073	134.5713	245.1378	327.4371	0	1156	87
