## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Drozdov.idf
## Date:	25.04.2013 01:00:59
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Drozdov                                                                                                                                                                           ## Subject:	Drozdov2                                                                           
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	10373                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
9466321769	SMP	1	121.0287	143.5869	83.9908	84.9963	110.9093	163.7939	404.0678	321.2391	0	891	70
9466342254	SMP	1	121.1088	143.0295	83.9985	85.9974	111.0033	163.2230	403.6496	321.1336	0	940	70
9466361617	SMP	1	121.2575	142.8589	81.9874	84.9946	110.9433	163.1664	402.3087	320.4787	0	889	71
9466384195	SMP	1	121.2202	142.5643	82.9974	84.9989	110.9614	162.9264	401.7206	319.7753	0	911	72
9466401648	SMP	1	121.1113	142.5719	82.9993	84.9987	110.9569	162.9323	401.8933	319.3505	0	865	72
9466421792	SMP	1	121.1705	142.3484	82.9839	83.9966	110.9106	162.7898	401.7835	318.7762	0	937	72
9466441879	SMP	1	120.8003	142.1641	83.9927	85.9812	110.9488	162.2812	403.1862	319.7483	0	856	73
9466461693	SMP	1	120.9169	141.9964	82.9892	84.9858	110.9754	162.2475	403.9620	320.0963	0	885	73
9466481481	SMP	1	121.1815	141.5729	81.9900	85.9950	110.9756	161.9377	403.4334	319.8297	0	880	74
9466501643	SMP	1	121.5917	141.6593	82.9879	84.9949	111.1156	162.1019	401.8076	319.2240	0	926	74
9466521484	SMP	1	121.3703	141.5574	82.9934	84.9985	111.3985	161.8582	402.4842	319.1108	0	882	75
9466541886	SMP	1	121.5423	141.3956	81.9899	83.9922	111.7221	161.8992	403.9540	318.4679	0	1022	75
9466561518	SMP	1	121.8649	141.3848	82.9872	84.9983	111.7179	161.6713	403.6403	318.8844	0	896	76
9466581599	SMP	1	121.4335	141.3938	82.9993	85.9964	111.5150	161.6451	404.3364	319.4661	0	886	76
9466601359	SMP	1	121.3759	141.0810	84.9962	84.9992	111.4872	161.5654	404.7072	318.8900	0	885	77
9466621520	SMP	1	121.3728	141.3409	82.9993	84.9979	111.4870	161.6444	404.8849	319.1890	0	917	77
9466641628	SMP	1	121.4765	141.1169	82.9848	84.9981	111.4890	161.6352	404.9291	318.4335	0	874	78
9466661544	SMP	1	124.7632	140.6125	82.9954	84.9981	112.8591	161.0777	386.4558	318.0551	0	936	78
9466681378	SMP	1	128.6438	138.2180	80.9957	82.9986	114.9124	159.7902	369.2567	310.2680	0	859	79
9466701385	SMP	1	129.5776	138.5111	82.9998	83.9920	115.2932	159.9948	364.5736	308.2405	0	1053	79
9466721239	SMP	1	129.8351	138.4199	80.9993	83.9810	115.7982	159.8982	364.6113	307.1607	0	924	80
9466741752	SMP	1	129.8187	138.5919	80.9991	82.9949	115.8340	159.9335	364.5951	307.2923	0	862	80
9466761239	SMP	1	130.0405	138.6271	82.9984	82.9989	116.0025	160.0046	364.4110	307.7329	0	926	81
9466781445	SMP	1	130.3567	138.9026	80.9921	83.9945	116.1070	160.1040	363.7349	308.6328	0	950	81
9466801110	SMP	1	130.2418	138.8810	81.9995	82.9825	116.1414	160.1316	363.5224	309.1120	0	902	82
9466825098	SMP	1	130.3746	138.3643	80.9939	83.9904	116.1830	160.0547	363.3172	307.4019	0	958	83
9466841376	SMP	1	130.3706	138.6288	81.9991	83.9928	116.1804	160.0657	363.1589	307.2164	0	873	83
9466861275	SMP	1	130.4781	138.2512	81.9990	83.9946	116.1623	159.8246	362.7699	306.4144	0	929	83
9466881124	SMP	1	130.5801	138.3898	82.9998	82.9988	116.2180	159.9927	362.1623	305.9030	0	904	84
9466901316	SMP	1	130.7047	138.2370	82.9998	83.9928	116.3952	159.7212	361.8950	306.2682	0	923	84
9466920986	SMP	1	130.6288	138.0953	82.9998	82.9948	116.5179	159.5733	362.5268	306.4565	0	876	85
9466941503	SMP	1	130.4897	138.0612	81.9993	83.9934	116.4694	159.7052	363.6221	306.0657	0	915	85
9466960993	SMP	1	130.9290	138.3563	81.9925	82.9949	116.5142	159.5064	362.6166	307.7748	0	895	86
9466981221	SMP	1	134.3399	140.3858	79.9928	82.9998	118.0097	160.8596	340.9746	313.5922	0	888	86
9467000986	SMP	1	135.8055	141.3640	80.9859	82.9896	118.8261	161.0673	335.2661	322.4560	0	931	87
9467021224	SMP	1	135.9389	141.6680	79.9999	82.9984	118.8976	161.7161	333.7079	322.0864	0	983	87
9467041127	SMP	1	135.8361	141.6964	79.9892	83.9972	119.0071	161.4962	333.7557	323.8628	0	886	88
9467061092	SMP	1	136.1147	141.8389	79.9967	82.9987	119.1475	161.8512	333.1719	323.7450	0	956	88
9467080857	SMP	1	136.3656	141.8209	79.9923	82.9997	119.3795	161.8056	333.1107	323.3056	0	932	89
9467101059	SMP	1	136.3010	142.1036	81.9997	82.9997	119.3932	161.9648	333.2364	323.7073	0	942	89
9467120857	SMP	1	136.4311	142.5791	79.9998	83.9928	119.2753	162.2633	332.2526	324.6513	0	933	90
9467141264	SMP	1	136.1574	142.7857	79.9996	82.9987	119.1749	162.4487	332.1551	325.6444	0	937	90
9467160745	SMP	1	136.1476	143.3157	79.9927	82.9748	119.1115	162.9659	331.9719	326.3063	0	908	91
